iter	Passed	Remaining
0	126	126120
1	129	64392
2	132	43888
3	134	33514
4	137	27421
5	141	23368
6	142	20265
7	146	18191
8	150	16528
9	153	15194
10	156	14111
11	160	13199
12	163	12422
13	167	11781
14	169	11133
15	170	10494
16	173	10010
17	176	9644
18	179	9283
19	182	8918
20	184	8608
21	188	8375
22	191	8137
23	195	7942
24	197	7708
25	200	7503
26	204	7359
27	206	7184
28	208	6990
29	210	6813
30	212	6642
31	214	6478
32	216	6347
33	219	6246
34	221	6110
35	223	5983
36	225	5860
37	227	5748
38	229	5644
39	231	5551
40	233	5466
41	235	5375
42	237	5281
43	239	5199
44	240	5110
45	242	5026
46	243	4943
47	245	4878
48	248	4821
49	249	4738
50	250	4661
51	252	4603
52	254	4555
53	256	4499
54	259	4458
55	261	4409
56	264	4368
57	266	4324
58	267	4273
59	269	4220
60	270	4171
61	273	4137
62	275	4099
63	277	4063
64	279	4021
65	280	3976
66	282	3931
67	283	3886
68	285	3847
69	287	3814
70	289	3792
71	291	3760
72	293	3721
73	294	3682
74	296	3650
75	297	3619
76	298	3582
77	300	3549
78	301	3515
79	302	3481
80	303	3445
81	304	3411
82	305	3375
83	306	3340
84	307	3309
85	308	3280
86	309	3251
87	311	3223
88	312	3195
89	313	3168
90	314	3142
91	315	3116
92	318	3101
93	319	3081
94	320	3057
95	322	3032
96	323	3008
97	324	2985
98	325	2961
99	326	2939
100	327	2919
101	329	2897
102	330	2876
103	331	2854
104	333	2841
105	335	2827
106	337	2812
107	338	2797
108	340	2783
109	341	2765
110	343	2747
111	343	2725
112	344	2707
113	345	2687
114	346	2670
115	349	2664
116	350	2646
117	351	2628
118	352	2609
119	353	2591
120	354	2574
121	355	2556
122	356	2539
123	356	2521
124	357	2505
125	358	2489
126	360	2478
127	363	2477
128	365	2464
129	366	2450
130	367	2440
131	368	2425
132	369	2410
133	370	2395
134	371	2380
135	372	2367
136	373	2352
137	374	2338
138	375	2323
139	376	2310
140	377	2299
141	378	2284
142	379	2272
143	380	2261
144	381	2248
145	382	2240
146	383	2227
147	386	2227
148	387	2215
149	388	2203
150	389	2190
151	390	2180
152	392	2174
153	393	2164
154	395	2157
155	397	2150
156	400	2149
157	401	2140
158	402	2130
159	403	2119
160	404	2107
161	405	2099
162	406	2088
163	407	2078
164	408	2067
165	409	2056
166	410	2045
167	410	2034
168	411	2024
169	412	2015
170	413	2005
171	414	1995
172	415	1986
173	416	1976
174	417	1966
175	417	1956
176	418	1947
177	420	1943
178	421	1934
179	422	1925
180	423	1916
181	424	1907
182	425	1897
183	425	1888
184	426	1880
185	428	1874
186	429	1867
187	430	1859
188	431	1851
189	432	1843
190	433	1836
191	435	1831
192	436	1825
193	437	1818
194	438	1811
195	439	1802
196	440	1794
197	441	1786
198	442	1779
199	443	1773
200	444	1767
201	445	1760
202	446	1753
203	447	1746
204	448	1739
205	451	1739
206	453	1736
207	454	1730
208	455	1724
209	456	1717
210	457	1712
211	459	1706
212	460	1700
213	461	1694
214	462	1688
215	464	1686
216	466	1682
217	467	1676
218	468	1671
219	469	1665
220	470	1659
221	472	1655
222	473	1650
223	474	1645
224	476	1640
225	477	1633
226	477	1627
227	479	1622
228	480	1617
229	481	1612
230	483	1608
231	484	1603
232	485	1597
233	486	1591
234	487	1586
235	488	1581
236	489	1575
237	490	1570
238	491	1564
239	492	1558
240	492	1552
241	494	1547
242	495	1542
243	496	1538
244	497	1532
245	498	1527
246	499	1521
247	500	1517
248	501	1513
249	502	1508
250	504	1504
251	505	1499
252	506	1494
253	506	1488
254	507	1483
255	508	1477
256	510	1474
257	511	1470
258	512	1466
259	513	1462
260	514	1456
261	515	1451
262	516	1447
263	517	1442
264	518	1437
265	519	1433
266	520	1428
267	521	1423
268	521	1418
269	522	1413
270	524	1409
271	525	1406
272	526	1402
273	527	1398
274	528	1393
275	529	1388
276	530	1383
277	531	1379
278	532	1375
279	533	1370
280	534	1366
281	534	1361
282	535	1357
283	536	1352
284	537	1348
285	538	1345
286	540	1342
287	541	1338
288	542	1334
289	543	1330
290	544	1325
291	545	1321
292	546	1318
293	547	1314
294	548	1310
295	549	1306
296	550	1302
297	551	1298
298	551	1293
299	552	1288
300	553	1285
301	554	1282
302	556	1279
303	557	1276
304	558	1272
305	559	1267
306	559	1263
307	560	1259
308	561	1256
309	562	1252
310	563	1247
311	564	1243
312	564	1239
313	565	1235
314	566	1231
315	567	1227
316	568	1224
317	569	1221
318	570	1218
319	571	1214
320	572	1211
321	573	1207
322	573	1202
323	574	1198
324	575	1194
325	576	1191
326	577	1188
327	578	1185
328	579	1181
329	580	1177
330	580	1174
331	581	1170
332	582	1166
333	583	1163
334	584	1160
335	585	1156
336	586	1153
337	587	1149
338	587	1146
339	588	1142
340	589	1138
341	590	1135
342	591	1132
343	592	1129
344	592	1125
345	593	1121
346	594	1118
347	595	1115
348	595	1111
349	596	1107
350	597	1105
351	599	1102
352	599	1099
353	600	1096
354	601	1093
355	602	1089
356	603	1086
357	603	1082
358	604	1079
359	605	1076
360	606	1073
361	607	1069
362	607	1066
363	608	1063
364	609	1059
365	609	1056
366	610	1053
367	611	1050
368	612	1047
369	613	1045
370	614	1042
371	615	1039
372	616	1036
373	617	1033
374	618	1030
375	619	1027
376	619	1024
377	620	1021
378	621	1018
379	622	1015
380	623	1012
381	623	1009
382	624	1006
383	625	1003
384	626	1000
385	626	997
386	627	994
387	629	992
388	629	989
389	630	986
390	631	983
391	632	980
392	633	977
393	633	974
394	634	971
395	635	968
396	636	966
397	637	963
398	638	961
399	639	958
400	639	955
401	640	952
402	641	949
403	641	947
404	643	945
405	644	942
406	645	940
407	645	937
408	646	934
409	647	932
410	648	929
411	649	926
412	650	924
413	651	922
414	652	920
415	653	917
416	654	914
417	655	912
418	655	909
419	656	906
420	658	905
421	659	903
422	661	901
423	662	899
424	662	896
425	663	893
426	664	891
427	664	888
428	665	886
429	666	883
430	667	881
431	668	878
432	669	876
433	669	873
434	670	871
435	671	868
436	671	865
437	673	863
438	674	861
439	674	858
440	675	856
441	676	854
442	677	851
443	677	848
444	678	846
445	679	843
446	680	841
447	681	840
448	682	838
449	683	835
450	684	833
451	685	831
452	686	829
453	688	828
454	689	826
455	690	823
456	691	821
457	691	818
458	692	816
459	693	814
460	694	811
461	695	809
462	696	807
463	696	804
464	697	802
465	697	799
466	698	797
467	699	794
468	699	792
469	700	789
470	701	787
471	701	785
472	702	782
473	703	780
474	704	778
475	705	776
476	706	774
477	707	772
478	708	770
479	708	767
480	709	765
481	710	763
482	711	761
483	712	759
484	713	758
485	714	755
486	715	753
487	716	751
488	717	749
489	717	747
490	719	745
491	720	743
492	721	741
493	722	739
494	722	737
495	723	735
496	724	732
497	724	730
498	725	728
499	726	726
500	727	724
501	728	722
502	729	720
503	729	718
504	730	716
505	731	713
506	731	711
507	733	710
508	734	708
509	736	707
510	736	705
511	737	703
512	738	700
513	738	698
514	739	696
515	740	694
516	741	692
517	742	690
518	743	688
519	744	686
520	744	684
521	745	682
522	746	680
523	746	678
524	747	676
525	748	674
526	749	672
527	751	671
528	751	669
529	752	667
530	753	665
531	754	663
532	754	661
533	755	659
534	756	657
535	757	655
536	758	653
537	759	651
538	759	649
539	760	647
540	761	646
541	762	644
542	763	642
543	764	641
544	765	639
545	766	637
546	767	635
547	768	633
548	769	631
549	769	629
550	770	627
551	771	625
552	771	623
553	772	621
554	773	619
555	773	617
